Pro_name,Pro_color,Cus_name,Rating,Title,Date,Review
iphone 11,Black,Isabella Villafane,1,Great Savings Good Value,"Reviewed in the United States on January 2, 2022",I waa skeptical about getting this iPhone because it was a renewed product and it was via Amazon not an iPhone dealer. My kid had received a couple of hundred dollars in Amazon gift cards and some cash for her birthday. I wanted her to have a new phone b
iphone 11,Black,Rose Flores,5,"It was a ""lemon!""","Reviewed in the United States on February 11, 2020","When I turned the phone on, it began powering off and on several times, so I knew something was wrong. Would not stay connected to my wi-fi, tried to update it and the screen went black and stayed black. I took it to a repair shop and it couldn't be fixe"
iphone 11,Black,D. McIver,1,Like new,"Reviewed in the United States on May 5, 2020",The phone came i excellent condition looked like it was new 100% battery works great
iphone 11,Black,Richard Schuck,3,Scratched and scuffed,"Reviewed in the United States on April 28, 2020",Phone came with a screen protector on it that had a scratch on it...or seemed to. Screen protector cracked so I removed it and therea??s not only one huge gouge but another one and a scuff mark on the screen. Touch screen doesna??t always work the best e
iphone 11,Black,Paula Rojas,1,Touch screen doesna??t work,"Reviewed in the United States on November 19, 2021",I was a little scared to buy a phone off line and was really excited when it came in the mail earlier than expected. But sad to say that the left side of the touch screen doesna??t work most of the time and will have to return. Very disappointed in my pu
iphone 11,Black,Noel Montalvo,5,BAD PHONE/DOES NOT WORK,"Reviewed in the United States on January 1, 2020","This phone is terrible.
Have to send a text 4 times to get it to send. Then sometimes it still won't go through. Keeps saying update- EVEN AFTER IT UPDATES. Constant WIFI error. Won't ring/ and when it does....you might miss your call because you're unab"
iphone 11,Black,Maddy Bugge,1,Absolute Scam.,"Reviewed in the United States on July 13, 2020","Please don't waste your money. This phone is a POS and was definitely tampered with in a malicious manner before being sold. After many months of owning this device here is my review:

Pros:
Works like a normal iPhone (for the most part until it doesnt a"
iphone 11,Black,brenda,1,do not buy from this company,"Reviewed in the United States on September 15, 2021","My phone operated terribly. The time and date were never correct on my phone, the notifications didna??t work, the sound was crackly so any time i would listen to music or anything it would crackle. speaker phone didna??t work, the front flash was comple"
iphone 11,Black,Katherine,1,I brought 3 phones and it was no good.,"Reviewed in the United States on July 4, 2021","I brought three(3) of the phone for my family and they work okay for a month. After that month of use it become disaster because they all came down with a battery problem. The phone would literally shut down while I'm on important calls, it was extremely"
iphone 11,Black,RAS,5,Beware of certain sellers,"Reviewed in the United States on May 20, 2020","( 62 days old) bright light on bottom pages disappears, phone freezes, s amazon told seller to send another one. Been waiting 3 months seller keeps on refusing. Amazon promised me that they will talk to him and I will get another one. Called 4 times sinc"
iphone 11,Black,jake,1,Absolutely Amazing!,"Reviewed in the United States on January 9, 2022","So i'm going to be completely honest, i was extremely worried about spending the amount of money i did on amazon. But with that being said the phone arrived extremely fast, and is in close to Brand new condition with the exception of a tiny nick on the b"
iphone 11,Black,Sadi,5,Arrived broken,"Reviewed in the United States on January 7, 2022",I thought these phones were checked and tested however the phone screen will glitch and type or delete different stuff than what was being typed. Camera and other apps will open or close on it's own. I'm assuming the phone had a screen replaced or someth
iphone 11,Black,Kim,1,Best Phones Ever!,"Reviewed in the United States on June 8, 2021","My first Apple product since the ipod. Which still works BTW. I suffered through a whole series of android phones. Had issues with them. Calls dropped, bad reception. Calls I was waiting for going directly to voicemail. I blamed my carrier and I was wron"
iphone 11,Black,gigihussein,5,"2 Phones, Neither Worked","Reviewed in the United States on April 27, 2020","I bought this phone the first time over a month ago. When I unboxed it, the keyboard did not work and I couldn't even get past setup. On the second phone, the screen flickered every time I pressed a button. The only good thing I can say is that the retur"
iphone 11,Black,Kindle Customer SC,5,Perfectttttt,"Reviewed in the United States on August 20, 2020",Was skeptical as well. Although it came faster than expected and was perfect it felt like a new phone from Apple expect for obvious reasons. Nothing is different about this phone expect for where you are getting it from. Mines came fully unlocked working
