tsfTenantID,networkID,cidrBlock,userdefined_region
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,18.208.0.0/13,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,18.232.0.0/14,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,184.72.128.0/17,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,184.72.64.0/18,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,184.73.0.0/16,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,204.236.192.0/18,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,208.86.88.0/23,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,216.182.224.0/21,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,216.182.232.0/22,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,216.182.238.0/23,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,23.20.0.0/14,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,3.208.0.0/12,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,3.224.0.0/12,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,3.5.0.0/18,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,3.80.0.0/12,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,34.192.0.0/12,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,34.224.0.0/12,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,35.153.0.0/16,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,35.168.0.0/13,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,44.192.0.0/11,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,46.51.208.0/22,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,50.16.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,50.19.0.0/16,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.0.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.2.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.20.0.0/14,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.200.0.0/13,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.4.0.0/14,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.44.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.54.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.70.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.72.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.86.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.90.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.94.201.0/26,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.94.248.0/28,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.95.245.0/24,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,52.95.255.80/28,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.144.0.0/14,us-east-1
