Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2019-01-28,0.3359,-0.1898,0.5402,,0.5387,,0.4871,,0.2561,,0.4818,-0.1131,0.5074,,0.5336,,0.5410,-0.0799,0.4236,,,275,0.0591,324,0.0544,439,0.0468,238,0.0635,99,0.0985,388,0.0498,328,0.0541,398,0.0491,675,0.0377,601,0.0400,us,Facebook,Daily Users
2019-02-04,0.4439,0.1080,0.5455,,0.5285,,0.5405,,0.4913,0.2352,0.5102,,0.5080,,0.5373,,0.5796,,0.4456,,,247,0.0624,334,0.0536,430,0.0473,233,0.0642,120,0.0895,332,0.0538,340,0.0531,403,0.0488,677,0.0377,567,0.0412,us,Facebook,Daily Users
2019-02-11,0.4105,,0.4951,,0.5364,,0.5092,,0.3175,-0.1738,0.4851,,0.5154,,0.5438,,0.5750,,0.4143,,,291,0.0574,333,0.0537,475,0.0450,261,0.0607,128,0.0866,376,0.0505,360,0.0517,434,0.0470,675,0.0377,684,0.0375,us,Facebook,Daily Users
2019-02-18,0.3689,,0.5573,,0.4765,,0.4637,,0.3240,,0.4614,,0.5633,,0.4592,-0.0846,0.5415,,0.4075,,,274,0.0592,353,0.0522,436,0.0469,265,0.0602,119,0.0898,386,0.0499,337,0.0534,424,0.0476,652,0.0384,677,0.0377,us,Facebook,Daily Users
2019-02-25,0.3667,,0.5379,,0.5176,,0.5484,,0.3502,,0.4930,,0.5180,,0.5189,,0.5737,,0.4086,,,283,0.0583,342,0.0530,433,0.0471,244,0.0627,136,0.0840,364,0.0514,339,0.0532,404,0.0488,689,0.0373,613,0.0396,us,Facebook,Daily Users
2019-03-04,0.4582,0.0915,0.5517,,0.4989,,0.4855,,0.3543,,0.5383,,0.5074,,0.5259,,0.5585,,0.4359,,,272,0.0594,324,0.0544,448,0.0463,245,0.0626,114,0.0918,358,0.0518,358,0.0518,411,0.0483,684,0.0375,604,0.0399,us,Facebook,Daily Users
2019-03-11,0.4054,,0.5740,,0.5240,,0.4725,,0.2920,,0.5188,,0.5937,0.0863,0.4894,,0.5742,,0.4225,,,238,0.0635,279,0.0587,423,0.0476,223,0.0656,115,0.0914,271,0.0595,340,0.0531,384,0.0500,608,0.0397,554,0.0416,us,Facebook,Daily Users
2019-03-18,0.4980,0.0926,0.5726,,0.5262,,0.4942,,0.4019,,0.5415,,0.5945,,0.5109,,0.5678,,0.4743,,,283,0.0583,243,0.0629,364,0.0514,231,0.0645,133,0.0850,297,0.0569,264,0.0603,369,0.0510,579,0.0407,542,0.0421,us,Facebook,Daily Users
2019-03-25,0.5118,,0.5433,,0.5065,,0.4608,,0.3938,,0.5708,,0.5386,,0.4773,,0.5738,,0.4392,,,252,0.0617,250,0.0620,341,0.0531,198,0.0696,116,0.0910,291,0.0574,249,0.0621,346,0.0527,532,0.0425,510,0.0434,us,Facebook,Daily Users
2019-04-01,0.4893,,0.5636,,0.5183,,0.4397,,0.4336,,0.5574,,0.5559,,0.4868,,0.5602,,0.4377,,,277,0.0589,247,0.0624,378,0.0504,256,0.0612,154,0.0790,271,0.0595,264,0.0603,406,0.0486,623,0.0393,535,0.0424,us,Facebook,Daily Users
